batch_id;cluster;ort;branche_code;branche;firmenname;rechtsform;strasse;plz;standort;telefon;geschaeftliche_email;website;kontaktseite_url;impressum_url;ansprechpartner;ansprechpartner_rolle;primaere_quellen_url;sekundaere_quellen_url;abrufdatum;mitarbeiterstatus;duplikat_status;notizen
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Haus & Garten Wernigerode;Einzelunternehmen;An der Orangerie 2;38855;Wernigerode;03943 903042;info@hausmeister-wernigerode.de;https://www.hausmeister-wernigerode.de;https://www.hausmeister-wernigerode.de/kontakt/;https://www.hausmeister-wernigerode.de/impressum/;Christian Franke;Inhaber;https://www.hausmeister-wernigerode.de/impressum/;https://www.gelbeseiten.de;20.08.2026;≤20 bestätigt;kein_duplikat;Objektbetreuung, Instandhaltung, Winterdienst
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Haus- und Gartenservice Patrick Frank;Einzelunternehmen;Halbe Str. 16;38855;Wernigerode OT Reddeber;03943 636399;hg-frank@web.de;https://www.haus-und-gartenservice.com;https://www.haus-und-gartenservice.com/kontakt/;https://www.haus-und-gartenservice.com/impressum/;Patrick Frank;Inhaber;https://www.haus-und-gartenservice.com/impressum/;https://www.dasoertliche.de;20.08.2026;≤20 bestätigt;kein_duplikat;Komplettbetreuung Wohn-/Gewerbeimmobilien, Winterdienst
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Hausmeisterdienst Hellmund;Einzelunternehmen;Brockenblick 20;38855;Wernigerode OT Reddeber;03943 630910;hellmund-hmd@t-online.de;https://www.hausmeisterdienst-hellmund.de;https://www.hausmeisterdienst-hellmund.de/kontakt;https://www.hausmeisterdienst-hellmund.de/impressum;Sebastian Hellmund;Inhaber;https://www.hausmeisterdienst-hellmund.de/impressum;https://www.creditreform.de;20.08.2026;≤20 bestätigt;kein_duplikat;Grundstückspflege, Winterdienst, Kleintransporte
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Gebäudereinigungs- und Grundstücksservice Andreas Appold;Einzelunternehmen;Zaunwiese 35;38855;Wernigerode;03943 5539778;info@hausmeisterservice-appold.de;https://www.hausmeisterservice-appold.de;https://www.hausmeisterservice-appold.de/kontakt.html;https://www.hausmeisterservice-appold.de/impressum.html;Andreas Appold;Inhaber;https://www.hausmeisterservice-appold.de/impressum.html;https://www.gelbeseiten.de;20.08.2026;≤20 bestätigt;kein_duplikat;Instandhaltung, Grünanlagenpflege, Winterdienst
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Dienstleistungsservice Sachtleben;Einzelunternehmen;Karl-Marx-Str. 24;38855;Wernigerode;0174 1905444;;;;;Tobias Sachtleben;Inhaber;https://www.dasoertliche.de;https://www.gelbeseiten.de;20.08.2026;unbekannt;kein_duplikat;Hausmeisterdienst, Objektkontrolle, Außenanlagen
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Hausmeister-Service Harz;Einzelunternehmen;Mühlental 22 e;38855;Wernigerode;03943 249283;;;;;;;https://www.dasoertliche.de;https://www.gelbeseiten.de;20.08.2026;unbekannt;kein_duplikat;Klassischer Hausmeisterdienst Mühlental
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Haus Service Harz HSH UG;UG (haftungsbeschränkt);Dornbergsweg 22;38855;Wernigerode;03943 55395;;;;;;;https://www.dasoertliche.de;https://www.dastelefonbuch.de;20.08.2026;unbekannt;kein_duplikat;Grundstücksbetreuung, Mieterservice
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Glas- und Gebäudereinigung Hausmeisterservice Rene Leiß;Einzelunternehmen;Am Kastanienwäldchen 13;38855;Wernigerode;03943 500697;;;;;Rene Leiß;Inhaber;https://www.dasoertliche.de;https://www.dastelefonbuch.de;20.08.2026;unbekannt;kein_duplikat;Kombinierter Gebäudereinigungs- und Hausmeisterservice
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Hausmeisterdienst Rüdiger Arlt;Einzelunternehmen;Barenberg 4;38879;Wernigerode OT Schierke;039455 371;;;;;Rüdiger Arlt;Inhaber;https://www.dastelefonbuch.de;https://www.11880.com;20.08.2026;unbekannt;kein_duplikat;Hausmeister- und Objektservice im Ortsteil Schierke
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Steffen Reinisch Haus- und Gartenservice;Einzelunternehmen;Burgmühlenstraße 13;38855;Wernigerode;03943 607277;;;;;Steffen Reinisch;Inhaber;https://www.gelbeseiten.de;https://www.dasoertliche.de;20.08.2026;unbekannt;kein_duplikat;Hausmeistertätigkeiten und Grundstückspflege
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Jo Allround-Service;Einzelunternehmen;Heinrich-Heine-Str. 120;38855;Wernigerode;03943 626673;;http://www.jo-allround.de;http://www.jo-allround.de;http://www.jo-allround.de;Joachim Karl Born;Inhaber;http://www.jo-allround.de;https://www.11880.com;20.08.2026;≤20 bestätigt;kein_duplikat;Hausmeisterservice, Montagearbeiten, Innenausbau
O-WRN-FM-B01;Ostharz;Wernigerode;FM;Hausmeister-/Facility-Service;Hausmeisterservice Neuhaus;Einzelunternehmen;August-Bebel-Platz 4;38855;Wernigerode;0176 86307194;stevenneuhaus783@gmail.com;;;;Steven Neuhaus;Inhaber;https://www.gelbeseiten.de;https://www.dienstleistungen24.de;20.08.2026;≤20 bestätigt;kein_duplikat;Hausmeisterservice, Entrümpelungen, Renovierungshilfe
